LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID72167,72167,37,10.844093322753906,766.7465148912202,657.7489085851848,0.0,12.0,12,5.0,1,,91.08247422680412,80.0,52.0,161.0,8835.0,29.21317842711458,0.3699263393677214,1.6838524881760573,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID71710,71710,37,10.050094604492188,765.5858365693152,663.7092481622266,0.0,13.0,13,5.0,1,,87.24742268041237,78.0,49.0,148.0,8463.0,24.93451044228788,0.35344408328743443,1.827520067348845,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID71821,71821,37,10.6798095703125,764.6400285232345,667.0099455288288,0.0,14.0,14,5.0,1,,90.02061855670104,82.0,48.0,160.0,8732.0,26.16413710495218,0.3722684236636343,1.8667351376111192,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID72293,72293,37,10.217979431152344,765.8415781259985,672.6803466098618,0.0,15.0,15,5.0,1,,92.61855670103093,84.0,54.0,159.0,8984.0,25.544260321942954,0.3350863057990599,1.8200445205082718,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID72526,72526,37,9.440681457519531,764.1565521664304,676.8480889835395,0.0,16.0,16,5.0,1,,86.4639175257732,79.0,49.0,142.0,8387.0,22.632048559357745,0.3435442848817227,1.953762548409431,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID72641,72641,37,10.741897583007812,763.8019516674726,680.3592315220194,0.0,17.0,17,5.0,1,,88.98969072164948,83.0,53.0,157.0,8632.0,24.76409314467927,0.378359988417223,1.9728306656744032,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID72882,72882,37,9.770050048828125,761.9058777154355,683.5980027115827,0.0,18.0,18,5.0,1,,86.78350515463917,82.0,56.0,147.0,8418.0,21.5818339910964,0.3524841290133835,2.0959756112763324,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID73223,73223,37,10.162391662597656,762.9706721233925,688.1182237348048,0.0,19.0,19,5.0,1,,90.73195876288659,84.0,52.0,157.0,8801.0,24.90294304223797,0.34722443554545707,1.8780620473811827,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID72764,72764,37,9.314811706542969,760.995974365986,692.6725900702405,0.0,20.0,20,5.0,1,,88.37113402061856,82.0,46.0,145.0,8572.0,22.86432792384099,0.3243391335602925,1.8931373478055264,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID73333,73333,37,11.275825500488281,759.8221596870118,697.797786637889,0.0,21.0,21,5.0,1,,91.15463917525773,85.0,44.0,156.0,8842.0,26.455678425665052,0.3867190380273662,1.9217502390758956,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
